concentration,surfactant volume,water volume,probe volume,total volume
4.401829234053869,152.10000000000002,822.9,25,1000.0
5.682737105446527,196.360255652716,778.639744347284,25,1000.0
7.336382056756448,253.5,721.5,25,1000.0
8.253429813851003,285.1875,689.8125,25,1000.0
9.35388712236447,323.21250000000003,651.7874999999999,25,1000.0
10.454344430877939,361.2375,613.7625,25,1000.0
11.554801739391404,399.2625,575.7375,25,1000.0
12.655259047904872,437.28749999999997,537.7125000000001,25,1000.0
13.75571635641834,475.3125,499.6875,25,1000.0
16.506859627702006,570.375,404.625,25,1000.0
21.310264145424473,736.350958697685,238.64904130231503,25,1000.0
27.51143271283668,950.625,24.375,25,1000.0
