Surfactant,Assay,Time_min,Replicate,CMC,r2,A1,A2,dx
CAPB,a,0,1,0.41720982348864416,0.8831110922251729,0.8448463705597441,0.7420964572354756,0.3597863782358027
CAPB,a,0,2,0.7975699277972192,0.9203578599457451,0.7963649531054715,0.7562610510558625,0.09444214573320409
CAPB,a,0,3,0.7634590316071846,0.8961411359366507,0.7931540288135388,0.7547430631537932,0.02882807701525046
CAPB,a,5,1,0.7795996948711176,0.8455726758408941,0.795892261208252,0.7489148243238773,0.0022122293256621305
CAPB,a,5,2,0.7702171394750336,0.9022198630779343,0.7958790562807944,0.7547407732452023,0.02412068095284822
CAPB,a,5,3,0.8214817855218767,0.7790290034798014,0.7975830845758639,0.7438312348268364,0.18144362675571368
CAPB,a,10,1,0.782693496449707,0.8006556603624251,0.7891220097298031,0.7489439845252155,0.002696490621938078
CAPB,a,10,2,0.83955747095372,0.8977105560870535,0.7953127413108602,0.7460813826816167,0.09203903497630991
CAPB,a,10,3,0.8240958361293872,0.8648334457309189,0.7932948980214666,0.7484019536440502,0.08581786181968656
CAPB,a,20,1,0.7826942938360179,0.7393591344268452,0.7983804649366107,0.7473301467490383,0.002198857128328185
CAPB,a,20,2,0.853332140791183,0.9125185567182235,0.8017682040864775,0.7438641222827438,0.12628538389040048
CAPB,a,20,3,0.8129635659757442,0.8393948036588865,0.8042300148111869,0.7458356630014175,0.13906158620728934
CAPB,a,30,1,0.78768878694302,0.9088730455946437,0.8117205915735899,0.7487765462060965,0.07106277949766936
CAPB,a,30,2,0.7617585306133227,0.9657744880102686,0.8160046857879646,0.7429408357346097,0.14528349396185525
CAPB,a,30,3,0.7473168368217777,0.9821525440343398,0.8207935228543493,0.7383506898054135,0.2116980520276898
CAPB,b,0,1,-2.541654530694404,0.9180807944130407,795.3661164117564,0.7585760715583874,0.293381473621788
CAPB,b,0,2,0.5836751614429274,0.9252835635759655,0.8139807711575534,0.7532620513773375,0.13356321116613104
CAPB,b,0,3,0.6535740033982305,0.9443763391192193,0.7992129504577153,0.7540264461504333,0.04984790144861818
CAPB,b,5,1,0.5765498577245239,0.8664980293205318,0.8060868525322507,0.7617094438463041,0.05885480212987788
CAPB,b,5,2,0.6353337685137338,0.9229969613994087,0.8032166556542379,0.757631500853292,0.05563705885091821
