Surfactant_1,Surfactant_2,conc_1,conc_2,cmc_rough,r2_rough,A1_rough,A2_rough,dx_rough,cmc_fine,r2_fine,A1_fine,A2_fine,dx_fine,replicates
CAPB,CHAPS,0.2,0.8,3.114721023620158,0.9451189898261206,0.8201567085486423,0.6520401814347652,1.4664261451159055,2.6885808192014737,0.9191563694176076,0.7605634647783653,0.6855468273094134,0.2211895659656717,3
DTAB,CAPB,0.5,0.5,1.0551272607264448,0.9097965301084292,0.8747313148527541,0.7154948830793155,0.933643914208148,1.401818238645037,0.8308214836590774,0.7950596844829674,0.7559352837991062,0.13048889867834612,3
CAPB,CHAPS,0.05,0.95,5.723948247926181,0.9545009929598512,0.8154686745274861,0.6421736702634043,1.5981324091901705,5.028495899500257,0.9576108858188941,0.7869830356694903,0.6624754636691712,0.6799468717098626,3
CAPB,CHAPS,0.5,0.5,0.2855792403482607,0.9872921292849872,0.958389236070561,0.6640988880195899,1.0578998814450018,0.14866318724613278,0.06639990103619631,0.8070128124756052,0.8115131058807902,0.0021972409171931414,3
