concentration,surfactant volume,water volume,probe volume,total volume
1.2405814524756746,152.09999999999997,822.9000000000001,25,1000.0
1.6015837683506986,196.360255652716,778.639744347284,25,1000.0
2.0676357541261243,253.49999999999997,721.5,25,1000.0
2.3260902233918896,285.1874999999999,689.8125000000001,25,1000.0
2.6362355865108085,323.2124999999999,651.7875000000001,25,1000.0
2.9463809496297273,361.23749999999995,613.7625,25,1000.0
3.2565263127486457,399.2624999999999,575.7375000000002,25,1000.0
3.5666716758675645,437.2874999999999,537.7125000000001,25,1000.0
3.8768170389864833,475.31249999999994,499.68750000000006,25,1000.0
4.652180446783779,570.3749999999998,404.6250000000002,25,1000.0
6.00593913131512,736.3509586976851,238.6490413023149,25,1000.0
7.7536340779729676,950.625,24.375,25,1000.0
