Time_min,Assay,replicate_std
0,a,0.21044630206271697
0,b,1.8249226886702936
0,c,0.0618590468434722
5,a,0.027295316439965453
5,b,0.033132674390173276
5,c,2.1610583376179613
10,a,0.02940160845596065
10,b,0.030065464572270426
10,c,0.24618334461642152
20,a,0.035439046476449854
20,b,0.018872459526295893
20,c,1.9910775481104044
30,a,0.02045660068488343
30,b,0.012291527920025445
30,c,0.0953785462992629
