Time_min,Assay,replicate_std
0,a,0.279872143619837
0,b,0.42204798340091737
0,c,0.22899485512341183
5,a,0.2559123307473979
5,b,0.042124519014690096
5,c,0.08968235555660851
10,a,0.21830159641872784
10,b,0.0962432918905123
10,c,0.13284035186864585
20,a,0.4474674826830605
20,b,0.09744272849847602
20,c,0.0678542477520706
30,a,0.20641673657704834
30,b,0.12292753962997811
30,c,0.07466199846887059
