concentration,surfactant volume,water volume,probe volume,total volume
1.5321651436233326,152.1,822.9,25,1000.0
1.9780166949642206,196.360255652716,778.639744347284,25,1000.0
2.553608572705554,253.49999999999997,721.5,25,1000.0
2.8728096442937487,285.1875,689.8125,25,1000.0
3.255850930199582,323.21250000000003,651.7874999999999,25,1000.0
3.638892216105415,361.2375,613.7625,25,1000.0
4.021933502011248,399.26250000000005,575.7375,25,1000.0
4.404974787917082,437.2875,537.7125,25,1000.0
4.788016073822915,475.3125,499.6875,25,1000.0
5.7456192885874975,570.375,404.625,25,1000.0
7.417562606115828,736.3509586976852,238.6490413023148,25,1000.0
9.57603214764583,950.625,24.375,25,1000.0
