concentration,surfactant volume,water volume,probe volume,total volume
0.8827460609370483,152.10000000000002,822.9,25,1000.0
1.1396202643131286,196.36025565271603,778.639744347284,25,1000.0
1.4712434348950805,253.49999999999997,721.5,25,1000.0
1.6551488642569656,285.1875,689.8125,25,1000.0
1.8758353794912277,323.21250000000003,651.7874999999999,25,1000.0
2.0965218947254898,361.2375,613.7625,25,1000.0
2.317208409959752,399.26250000000005,575.7375,25,1000.0
2.537894925194014,437.2875,537.7125,25,1000.0
2.758581440428276,475.3125,499.6875,25,1000.0
3.3102977285139312,570.375,404.625,25,1000.0
4.273575991174233,736.3509586976852,238.6490413023148,25,1000.0
5.517162880856552,950.625,24.375,25,1000.0
