concentration,surfactant volume,water volume,probe volume,total volume
0.42800000000000005,152.1,822.9,25,1000.0
0.5525456240589248,196.36025565271603,778.639744347284,25,1000.0
0.7133333333333334,253.49999999999994,721.5,25,1000.0
0.8025,285.18749999999994,689.8125,25,1000.0
0.9095,323.2124999999999,651.7875000000001,25,1000.0
1.0165,361.23749999999995,613.7625,25,1000.0
1.1235,399.2624999999999,575.7375000000002,25,1000.0
1.2305000000000001,437.28749999999997,537.7125000000001,25,1000.0
1.3375000000000001,475.3125,499.6875,25,1000.0
1.605,570.3749999999999,404.6250000000001,25,1000.0
2.0720460902209683,736.3509586976851,238.6490413023149,25,1000.0
2.6750000000000003,950.625,24.375,25,1000.0
