334_373,334_384,ratio
124059.0,152799.0,0.8119097638073548
136542.0,168264.0,0.8114748252745685
150360.0,190272.0,0.7902371342078708
163641.0,217387.0,0.7527635047173934
173653.0,238801.0,0.7271870720809377
195168.0,279413.0,0.6984929119260735
197143.0,291871.0,0.6754456592124602
193053.0,287450.0,0.6716054966081058
218849.0,332368.0,0.6584538824435565
231702.0,354428.0,0.6537350322209307
244307.0,375030.0,0.6514332186758393
231839.0,356517.0,0.6502887660335973
