concentration,surfactant volume,water volume,probe volume,total volume
4.251261172025653,152.09999999999997,822.9000000000001,25,1000.0
5.4883545732111925,196.36025565271603,778.639744347284,25,1000.0
7.085435286709421,253.49999999999997,721.5,25,1000.0
7.971114697548099,285.1875,689.8125,25,1000.0
9.033929990554512,323.2125,651.7875,25,1000.0
10.096745283560926,361.2375,613.7625,25,1000.0
11.159560576567339,399.26249999999993,575.7375000000001,25,1000.0
12.222375869573753,437.2875,537.7125,25,1000.0
13.285191162580166,475.3125,499.6875,25,1000.0
15.942229395096199,570.375,404.625,25,1000.0
20.581329649541978,736.3509586976852,238.6490413023148,25,1000.0
26.57038232516033,950.625,24.375,25,1000.0
