Time_min,Assay,replicate_std
0,a,0.07680699040282075
0,b,0.07556213973510734
0,c,0.08960176213358699
5,a,0.0832817439632817
5,b,0.002424297273991208
5,c,0.12037682882644578
10,a,0.0786919394367457
10,b,0.013448832227011404
10,c,0.09398995636595776
20,a,0.03979947412209304
20,b,0.021794371878327657
20,c,0.011968608454124856
30,a,0.047010222563754325
30,b,0.057055348778190795
30,c,0.034250886336843485
