Time_min,Assay,replicate_std
0,a,0.004778330608997393
0,b,0.03928259363418991
0,c,0.048490840389609643
5,a,0.01802283473585773
5,b,0.019101551862942854
5,c,0.030655420191197474
10,a,0.028037505434583745
10,b,0.00921419864560372
10,c,0.00929217950948505
20,a,0.026993159566532764
20,b,0.010213404597553537
20,c,0.023526424013940044
30,a,0.020902357626759353
30,b,0.012112789719550935
30,c,0.02246053850690667
