concentration,surfactant volume,water volume,probe volume,total volume
0.942,29.651945364238408,945.3480546357616,25,1000.0
1.291,40.63764486754967,934.3623551324504,25,1000.0
1.769,55.68396109271523,919.3160389072848,25,1000.0
2.425,76.3332988410596,898.6667011589404,25,1000.0
3.324,104.63170529801323,870.3682947019868,25,1000.0
4.556,143.4121688741722,831.5878311258277,25,1000.0
6.244,196.54644039735098,778.453559602649,25,1000.0
8.558,269.3857201986755,705.6142798013245,25,1000.0
11.729,369.2013451986755,605.7986548013246,25,1000.0
16.076,506.0346854304636,468.9653145695364,25,1000.0
22.034,693.5785182119205,281.4214817880795,25,1000.0
30.2,950.625,24.375,25,1000.0
