concentration,surfactant volume,water volume,probe volume,total volume
0.107,19.073106131633224,955.9268938683667,25,1000.0
0.152,27.09450590661916,947.9054940933809,25,1000.0
0.217,38.68097224826551,936.3190277517344,25,1000.0
0.31,55.25853178323645,919.7414682167636,25,1000.0
0.442,78.78797112319519,896.2120288768048,25,1000.0
0.631,112.47785017813612,862.5221498218639,25,1000.0
0.901,160.60624882805175,814.3937511719482,25,1000.0
1.286,229.23378023626478,745.7662197637352,25,1000.0
1.835,327.0948574910932,647.9051425089068,25,1000.0
2.619,466.8454669041815,508.1545330958185,25,1000.0
3.737,666.1326879804988,308.86731201950124,25,1000.0
5.333,950.625,24.375,25,1000.0
