concentration,surfactant volume,water volume,probe volume,total volume
0.40349737110169376,152.1,822.9,25,1000.0
0.5209128661717779,196.360255652716,778.639744347284,25,1000.0
0.6724956185028229,253.49999999999994,721.5,25,1000.0
0.7565575708156758,285.18749999999994,689.8125,25,1000.0
0.8574319135910993,323.2125,651.7875,25,1000.0
0.9583062563665227,361.23749999999995,613.7625,25,1000.0
1.0591805991419463,399.26250000000005,575.7375,25,1000.0
1.1600549419173696,437.2875,537.7125,25,1000.0
1.260929284692793,475.3125,499.6875,25,1000.0
1.5131151416313515,570.3749999999999,404.6250000000001,25,1000.0
1.9534232481441671,736.3509586976851,238.6490413023149,25,1000.0
2.521858569385586,950.625,24.375,25,1000.0
