Surfactant,Assay,Time_min,Replicate,CMC,r2,A1,A2,dx
SDS,a,0,1,8.882977497097349,0.9557584214959798,0.8189984923774893,0.7239416969217577,0.362817743846454
SDS,a,0,2,8.857474483925868,0.9665790249759608,0.8084436132246532,0.7219131427305343,0.27835157110089015
SDS,a,0,3,8.854792298778571,0.9594314916880315,0.7965138648890158,0.7153907378758435,0.19271970062561308
SDS,a,5,1,8.653675770178753,0.939267946998131,0.8121911093241208,0.7175564364010197,0.9545611295896171
SDS,a,5,2,8.798640019456153,0.9863278564939876,0.8047499128735814,0.7145670578046099,0.4243395244885593
SDS,a,5,3,8.48171362651797,0.9797105722674285,0.798735678362352,0.7178040619859202,0.35176289586541987
SDS,a,10,1,8.416015260467207,0.9873529847243232,0.8130176218596833,0.722967508906365,0.6047386189312086
SDS,a,10,2,8.65222535464553,0.9881460573518505,0.80523292437419,0.7154006736091659,0.46530861846638416
SDS,a,10,3,8.569786233871687,0.9933909732065392,0.8042573339426643,0.713186797397248,0.4826776976410245
SDS,a,20,1,8.479095018203473,0.9903915854963083,0.8232520500213314,0.7227934715978314,0.864917776843541
SDS,a,20,2,8.496087950737643,0.9904847783040585,0.8144493391502442,0.7216637433275541,0.34567427764101255
SDS,a,20,3,8.51866136847716,0.9892215532108326,0.8075796813267617,0.7132168567021392,0.3481034952495882
SDS,a,30,1,8.345826822044671,0.9657382263131471,0.8301634432240756,0.7252985769124224,0.7241409892955749
SDS,a,30,2,8.472805928233422,0.9919479423746771,0.8145510989142705,0.7158413550223348,0.4664376277107436
SDS,a,30,3,8.422145402508841,0.9858503382710212,0.8109382307005629,0.7125016274384155,0.39472508510706145
SDS,b,0,1,8.589168493966021,0.9658416268954679,0.8166192976350112,0.7272711657334363,0.43411604397262765
SDS,b,0,2,8.85738379185554,0.9659861155839375,0.8139834745655466,0.7183564025695272,0.29433447885566605
SDS,b,0,3,8.923250105580587,0.9528631012876724,0.8041776101076716,0.7153609534426275,0.040922129494708366
SDS,b,5,1,8.747701429470156,0.9471925169633952,0.8138317341755817,0.7227646845828687,0.2895806036707772
SDS,b,5,2,8.76981965649319,0.9760418492294693,0.810739947416706,0.7168859717270353,0.20387439930370424
SDS,b,5,3,8.907511718521352,0.9783886580458695,0.8055831191171232,0.7147207936090169,0.03923221156135616
SDS,b,10,1,8.693223790797681,0.9775979485934635,0.811536479284268,0.7230881069226182,0.24385811082180076
SDS,b,10,2,8.906929328234057,0.9797950002180797,0.8102275823632469,0.7165292448251571,0.020636002112292634
SDS,b,10,3,8.739379360218551,0.9912189960459215,0.8072562350321772,0.7168439634110279,0.20192787639290224
SDS,b,20,1,8.790244762623216,0.9815016410676056,0.8137931912705673,0.7263787277423491,0.19068755157322304
SDS,b,20,2,8.747594151610002,0.9833421967943234,0.8103184498448346,0.7200973474838142,0.15797906861919186
SDS,b,20,3,8.744672009035936,0.9865823981705112,0.8075170517670253,0.7140554909835539,0.24992705096089077
SDS,b,30,1,8.74567086408651,0.9755004311111323,0.8185833942291741,0.728555468415348,0.2240146830926513
SDS,b,30,2,8.692115096347663,0.9804453467601155,0.8126464040423447,0.7188178491389717,0.22662549083715577
SDS,b,30,3,8.82943291203321,0.9875143334041973,0.8073552066631184,0.7125222872015949,0.18530125852196463
SDS,c,0,1,8.856950212001143,0.9685609513453731,0.828412739252437,0.726815712606868,0.730000363022627
SDS,c,0,2,8.594358519603784,0.9938627362284039,0.8171324278067031,0.7236218079652533,0.6012221211378832
SDS,c,0,3,8.419379571584695,0.9920650835472633,0.8142950087700417,0.7164081280395832,0.5740873604452468
SDS,c,5,1,9.222521215043358,0.9638942161290491,0.8191228434010055,0.7205899951896472,0.4125802222093474
SDS,c,5,2,8.575096732606974,0.9779031871812318,0.8160052094385454,0.7156327983290957,0.5609211194777332
SDS,c,5,3,8.297614065281177,0.987640273105517,0.8108785753326495,0.7181946329727362,0.5641696884443569
SDS,c,10,1,8.937712043906316,0.9704548223112114,0.8257927557160414,0.7209541438515371,0.8048810859220434
SDS,c,10,2,8.303708386029651,0.9810165972651517,0.8128876704046589,0.7174798911214532,0.6118727319374635
SDS,c,10,3,8.205934146382537,0.9950226159498986,0.8098040764480601,0.7197793798875268,0.5542940751894436
SDS,c,20,1,8.923320030650025,0.9297810235785348,0.8164728046610882,0.7254792359818067,0.7863929361459434
SDS,c,20,2,8.372941620889076,0.9756558722596742,0.8104720907151454,0.7185317939711094,0.47475530229807117
SDS,c,20,3,8.18570443482304,0.9801107425333483,0.8118643216670681,0.7169668447497058,0.589822193904677
SDS,c,30,1,8.181680555713651,0.9482455357536413,0.8295761147415176,0.7287710116740018,1.0351111222109506
SDS,c,30,2,8.40367063156084,0.9778067552493825,0.8147600339744409,0.7208405038047275,0.4874944721074514
SDS,c,30,3,8.274244458427507,0.9840044310734706,0.8077421526069136,0.7181189686112867,0.441520339267309
NaDC,a,0,1,5.569039252841645,0.9824495799105882,0.8172721990169075,0.703992087076426,0.019523495391383143
NaDC,a,0,2,5.590660297621058,0.9832240857944368,0.8132866106639977,0.694003404488805,0.009967341404747445
NaDC,a,0,3,5.580162001103979,0.9817272782202668,0.8066553523726104,0.6870591386447813,0.015379517387440866
NaDC,a,5,1,5.45317450981483,0.9952397688064945,0.8172457719936427,0.7009518658269682,0.12304060994932416
NaDC,a,5,2,5.576606038216591,0.9939979867245404,0.8094494500441058,0.6892255500127269,0.018967482340600753
NaDC,a,5,3,5.591151147041615,0.9971329510753482,0.8044700969318048,0.6880918586178213,0.007342757085165572
NaDC,a,10,1,5.58869712511402,0.9584535444458469,0.82075957905591,0.7019466535433566,0.012525252961436528
NaDC,a,10,2,5.56761541528013,0.992940206191961,0.8084141161803374,0.689716948471605,0.023545424024440455
NaDC,a,10,3,5.592189045833984,0.9961563681482405,0.8044825588533909,0.6898947860539943,0.006344017903489457
NaDC,a,20,1,5.581280952381881,0.9650863868062065,0.8290417423209208,0.7028640888841992,0.015467314122142998
NaDC,a,20,2,5.462835449867491,0.9500421733332197,0.8226994204627326,0.6928666585172254,0.10244803005504481
NaDC,a,20,3,5.482591207486508,0.9981602201997297,0.8083799203262917,0.6879500794210154,0.07013087809942327
NaDC,a,30,1,5.5820171813713175,0.9819814765624673,0.8235490327922079,0.7042667509136679,0.01969081143297894
NaDC,a,30,2,5.473308288177849,0.989864295268609,0.8121843637998326,0.6951804807454669,0.11757821929198936
NaDC,a,30,3,5.42612717968441,0.9917811642564826,0.8110467370650666,0.689462063766904,0.10033008101617523
NaDC,b,0,1,5.331960619526882,0.980005109326407,0.8248107943406412,0.6970723130784249,0.1431051739223021
NaDC,b,0,2,5.569767016866741,0.9837129196087067,0.8081978356696689,0.6883084210576608,0.01890365733763153
NaDC,b,0,3,5.590409572098768,0.9769534544433655,0.7963156588617653,0.6857347456415491,0.0068988991100825325
NaDC,b,5,1,5.363769756079604,0.9808076184387677,0.8242446909140512,0.6946732135758877,0.1178758327557678
NaDC,b,5,2,5.322609863924309,0.9118662532395438,0.8248492601884088,0.6862497174531155,0.12164941882111252
NaDC,b,5,3,5.410061157966327,0.967869279484142,0.8134048774698056,0.6857936343468173,0.09790319834399377
NaDC,b,10,1,5.46659285026343,0.9839624165435098,0.8216231004440062,0.6956410412178311,0.07155721121338947
NaDC,b,10,2,5.555195389849524,0.9915411272041933,0.8140993729310386,0.6863056392372097,0.024622092138259426
NaDC,b,10,3,5.352364302459635,0.9096124318925151,0.8202726056907301,0.6895329810075513,0.1037026364310035
NaDC,b,20,1,5.579772543565245,0.9930210910037355,0.8264107777093685,0.6972901563409004,0.01191198662614033
NaDC,b,20,2,5.378760122245747,0.983883532443123,0.8220029189680345,0.692531913477581,0.10227713665582498
NaDC,b,20,3,5.418757960056753,0.9939590002126344,0.814652365002426,0.6834481132974065,0.10611015669148728
NaDC,b,30,1,5.390526666323764,0.9915315295391146,0.8310085519631125,0.6981828852990246,0.09916393001240348
NaDC,b,30,2,5.368456955803392,0.9736616317170508,0.8281138849473516,0.6916843159963553,0.11205889702672896
NaDC,b,30,3,5.347692843123762,0.9354778757866787,0.8271072854722588,0.6843065688443096,0.11785153725279114
NaDC,c,0,1,5.257791153648566,0.9799370877983085,0.8253744343807962,0.7058720267647368,0.005873493830596797
NaDC,c,0,2,5.576158645938301,0.9832501566307927,0.8162260685880522,0.6956757541869032,0.015615105583564416
NaDC,c,0,3,5.594480654123733,0.9912382341680273,0.8111726889143936,0.6882687809025517,0.006931620028831541
NaDC,c,5,1,5.593527473837056,0.9833944207521966,0.8082503827276258,0.7017192786425862,0.005726397144313365
NaDC,c,5,2,5.575328177890866,0.9918994402666619,0.8101451481872718,0.6907352591626312,0.021049518363486473
NaDC,c,5,3,5.566421362431357,0.9966460897118117,0.8091245360239794,0.6893552663950685,0.01974287209539024
NaDC,c,10,1,5.582868980195352,0.9785290547116305,0.8120033860343348,0.7011913341145505,0.01605226528623467
NaDC,c,10,2,5.506408478104106,0.9898167684949377,0.8093682697520304,0.6904170317610354,0.06846865496357239
NaDC,c,10,3,5.4070937693539305,0.9965868929695139,0.8087459201564953,0.6903186910503536,0.1083132436507128
NaDC,c,20,1,5.5878955446627865,0.9582793654812343,0.8175962280244573,0.7039916208158282,0.013369339650608991
NaDC,c,20,2,5.442910768911503,0.9915354702654227,0.8132392805998573,0.694792473831845,0.12162278897784035
NaDC,c,20,3,5.429470481524504,0.9910190966251328,0.814324044929534,0.6879823415809583,0.11102715402221448
NaDC,c,30,1,5.578373450348386,0.9490239829888519,0.8212675416022909,0.7069649691291248,0.020438287039205656
NaDC,c,30,2,5.533263068605988,0.9883385384491163,0.8169218339113701,0.6954719570327119,0.0542846381480814
