Concentration,Rep1,Rep2,Rep3
0.428,0.814882568988081,0.8100377253854629,0.8123742716104368
0.5525456240589248,0.8434402728194808,0.8278950998423542,0.8252353795889571
0.7133333333333334,0.8223482526057634,0.8130965167352142,0.8234699677887956
0.8025,0.8202500621603381,0.8324955215150075,0.8221978721810145
0.9095,0.7995356256312,0.8112132173232965,0.8021748845523611
1.0165,0.7921672634044998,0.7905095713130224,0.7895629960770003
1.1235,0.7736513513937473,0.781835447112599,0.7745146717675309
1.2305,0.7691339299256787,0.7704674401863878,0.7685221481771854
1.3375,0.7481180600013245,0.7453243313812525,0.7380492388648751
1.605,0.7216525089477218,0.7318802952524303,0.7322189358944535
2.0720460902209683,0.7467736497876071,0.7323878104208307,0.7282776614370559
2.6750000000000003,0.7403567178226679,0.7503824498872365,0.7460478057417478
