Concentration,Rep1,Rep2,Rep3
1.594,0.7850515394097011,0.8003489932885905,0.8073194924239833
2.057845151284874,0.7966755757331674,0.8089580524071577,0.8133704735376045
2.6566666666666667,0.8188508823283432,0.8216274126062897,0.8295186489350791
2.98875,0.8311398149764356,0.8302538975501114,0.8251693264470933
3.38725,0.8063292085685446,0.8064431615094552,0.8070480789025508
3.78575,0.7626031021827013,0.7686133773432148,0.7709466555891712
4.1842500000000005,0.7427277574280392,0.7426872622190807,0.7441333435919675
4.58275,0.7112139357648339,0.7248700440800603,0.7215556526624634
4.98125,0.7276255575508312,0.7281721580207873,0.7244158218671574
5.977499999999999,0.7313227221668821,0.7334021309530775,0.7337025443454531
7.716919317318277,0.7411020828564889,0.7428375862128973,0.7434314017882727
9.9625,0.7423998691277912,0.7418409357362925,0.7415991923687084
