Surfactant,Assay,Time_min,FitType,A1,A2,x0,dx,r_squared
CTAB,a,0,average,0.8129079766875198,0.7333139865160244,1.193974700533266,0.07533946085162263,0.9431630109515725
CTAB,a,0,combined,0.8129076175933642,0.7333143677259525,1.1939744105518137,0.0753336977184326,0.9312432996274529
CTAB,a,5,average,0.8066107789312748,0.7304803082815913,1.1908657314613946,0.09267807171395248,0.9516231587530772
CTAB,a,5,combined,0.8066103734679552,0.730480842087628,1.190863810320594,0.09267037473261538,0.9287471030059803
CTAB,a,10,average,0.8103095381406694,0.7323441068080672,1.1649002213070696,0.08410481238018028,0.9745925609080267
CTAB,a,10,combined,0.8103098605662641,0.7323438989932569,1.1648994316282975,0.08410895778735296,0.9562423565953345
CTAB,a,20,average,0.819839567119409,0.7353541415749029,1.1473391900321546,0.08255021135683069,0.9781947758185063
CTAB,a,20,combined,0.819839460667136,0.7353541690211802,1.1473397735042563,0.08254924783652219,0.9360989923588507
CTAB,a,30,average,0.8220235291740332,0.7358163520859251,1.1442368666406215,0.08620895328463175,0.9753912253664243
CTAB,a,30,combined,0.822023536917995,0.7358163506748058,1.1442368207169062,0.08620901787615437,0.9562448889933333
CTAB,b,0,average,0.8151671471815398,0.7381149825544894,1.064637435527512,0.05724738296124638,0.9353198287694917
CTAB,b,0,combined,0.8151671240913553,0.7381150099641499,1.06463738693446,0.05724703433830363,0.9007149352970789
CTAB,b,5,average,0.8205754153884612,0.7377887006077268,1.049968321789053,0.05137635227067513,0.9123888718470307
CTAB,b,5,combined,0.8205746531293935,0.7377892988261168,1.0499690950140403,0.05136756725733373,0.8867201980536933
CTAB,b,10,average,0.8206848294133463,0.7409200425353265,1.0698132829253073,0.0006395861356192634,0.9125363407387783
CTAB,b,10,combined,0.827623530031991,0.7377036647678602,1.0434614660555317,0.05126146153667338,0.9566338291761401
CTAB,b,20,average,0.8292127188649705,0.7377581955290958,1.0453192470479644,0.057358918779599255,0.9506204222566527
CTAB,b,20,combined,0.8292121127512023,0.7377585934287559,1.0453203118894636,0.05735314286898921,0.937135453864176
CTAB,b,30,average,0.8371314865637134,0.7378394684380548,1.0323243107190827,0.06838827545956684,0.9757766699166354
CTAB,b,30,combined,0.8371313894979969,0.737839512661033,1.0323245761752695,0.06838755988975714,0.9653945569640464
CTAB,c,0,average,0.8164577094862053,0.7414392798912419,1.110735224844011,0.0717045289541768,0.9510301596752757
CTAB,c,0,combined,0.816457338634753,0.7414394176709971,1.1107372046551196,0.07170074279794571,0.9089117630258752
CTAB,c,5,average,0.823989119629315,0.7364043302149327,1.1062498819378739,0.12673219583015127,0.9607587106040725
CTAB,c,5,combined,0.8239890789658126,0.7364043555011166,1.1062499307864195,0.12673177360675697,0.9433682127844482
CTAB,c,10,average,0.8255265156281801,0.7344343980821281,1.0874263456705222,0.15886316444016504,0.9607189349497444
CTAB,c,10,combined,0.8255271267925534,0.7344340245197155,1.0874257835728651,0.15886921872052526,0.9366053623113141
CTAB,c,20,average,0.829232741242949,0.739420295953662,1.0808557029458552,0.12797813824744353,0.9631511770195155
CTAB,c,20,combined,0.8292327690723228,0.7394202844756794,1.0808556189674654,0.1279783707775347,0.9487667093618964
CTAB,c,30,average,0.8367362578964416,0.7394829309517515,1.0506866250546416,0.13740904287016073,0.974499339937767
CTAB,c,30,combined,0.8367361924650094,0.7394829441838762,1.050686915552643,0.13740864676939293,0.9646030757793336
DTAB,a,0,average,0.8234793407618647,0.7296224744177052,14.978907514403776,2.382374402483233,0.9627653512522573
DTAB,a,0,combined,0.8234785407962067,0.7296229953750334,14.978913598383443,2.38226629086376,0.9285729178026121
DTAB,a,5,average,0.8253051083871293,0.7309570167674619,14.8737548123911,2.559504726269179,0.9725064595942532
DTAB,a,5,combined,0.8253052125183807,0.7309569116954454,14.873759143348872,2.5595230094898316,0.9293994107447925
DTAB,a,10,average,0.8235432554660493,0.7333433771884211,14.146161388554779,1.8465742706686639,0.9741825835873467
DTAB,a,10,combined,0.8235431713834106,0.73334338721583,14.146167678724431,1.846568185313612,0.9644274885404553
DTAB,a,20,average,0.8233904430396132,0.7371617594191097,14.237138666323528,1.5327032533341298,0.9601050824963866
DTAB,a,20,combined,0.8233904502800087,0.7371617489671443,14.2371393794132,1.5327048481948935,0.9291958422799923
DTAB,a,30,average,0.8217717981184475,0.7378008868497462,15.067555197117494,1.083433440422603,0.975142478657343
DTAB,a,30,combined,0.8217717507717582,0.7378007285321221,15.067579982469299,1.0834456518873439,0.945438491866114
DTAB,b,0,average,0.8139028323876081,0.7393198682085772,15.060084771478104,0.07891532948434113,0.9601610909577832
DTAB,b,0,combined,0.8139028323898846,0.739319868206552,15.059086904074857,0.048420898161712814,0.9241474539665491
DTAB,b,5,average,0.8169460970521203,0.7346021867915525,15.020824145362486,0.3528620901473095,0.9645029449417374
DTAB,b,5,combined,0.8169459444808383,0.7346024095958905,15.02082022298001,0.3527733437779269,0.9546479778799252
DTAB,b,10,average,0.8201487151169613,0.7325406383816825,14.87965314060952,0.5817236216087922,0.9664258886331258
DTAB,b,10,combined,0.8201485889441598,0.7325407669635624,14.879650931044866,0.5816973527310251,0.950384753168735
DTAB,b,20,average,0.8228249256596155,0.7348184841839973,14.953299360368888,0.5620714504043914,0.9713164884231802
DTAB,b,20,combined,0.8228249342049861,0.7348184713957013,14.953299971726585,0.5620737728591829,0.9623589180742856
DTAB,b,30,average,0.8312314023635053,0.7362419390542614,14.80153607087324,0.6640758549687412,0.9790624990292377
