Concentration,Rep1,Rep2,Rep3
6.34,0.7942913982798986,0.8066515922366686,0.8202792131266431
8.184904804985008,0.8236686558278643,0.8323472538890011,0.8339959138817385
10.566666666666666,0.8124572107825067,0.8332900247623124,0.8313688951005512
11.8875,0.8066800074618007,0.8277337641134922,0.8248173277661796
13.4725,0.8076091117917304,0.8096628565939872,0.8105122131179372
15.0575,0.8041492425368117,0.778057572073012,0.7756602171678806
16.6425,0.7843810988231119,0.7773936298366502,0.7784522561300885
18.2275,0.7521370766784536,0.7433772852018066,0.7462494725252339
19.8125,0.7360077713846516,0.7389977810650887,0.7387451395084983
23.775,0.7377011380667687,0.7417941909168059,0.7354197720358847
30.693393018693783,0.7563970173268812,0.7254702317118724,0.731004681310767
39.625,0.744237767893247,0.7505764093912555,0.7521384580291971
