Concentration,Rep1,Rep2,Rep3
0.428,0.7990751200225925,0.8199890557183871,0.8147423751604426
0.5525456240589248,0.8133055981315233,0.8291771152595895,0.8270323891102048
0.7133333333333334,0.859520305215468,0.8385174519464298,0.8340931177665871
0.8025,0.840720996122875,0.8367562948505064,0.8377395771586643
0.9095,0.8266267032289607,0.8227175525879376,0.8140783935461242
1.0165,0.7908037222563983,0.7934984705811792,0.7903832541207402
1.1235,0.7650954390827769,0.7591711875343546,0.757737018439049
1.2305,0.7399199101637816,0.7399898021330539,0.73785769974878
1.3375,0.7291631368357945,0.7309943058532672,0.7308738071120116
1.605,0.727409066980081,0.731691802225763,0.7300907668231612
2.0720460902209683,0.7377670950525629,0.7409540487077212,0.7374775271314777
2.6750000000000003,0.7511353728344516,0.7490121932396975,0.7566607180761158
