Concentration,Rep1,Rep2,Rep3
0.428,0.832458070820787,0.8137897665416717,0.813040420338422
0.5525456240589248,0.8272311118781692,0.8192245128307274,0.81556023343773
0.7133333333333334,0.8082153542860632,0.8196084155976863,0.8149472139945589
0.8025,0.8005585516178737,0.8271370096306108,0.8167069276121848
0.9095,0.8206373652410852,0.8359514385907347,0.8142149548205255
1.0165,0.8330052657347549,0.8055672121975102,0.7907898529835687
1.1235,0.7792616004445679,0.7792629062502777,0.7656736367142998
1.2305,0.7651930654058313,0.7641507147070469,0.7636096447659002
1.3375,0.7465667294234664,0.743756786102063,0.7395081178066606
1.605,0.7262163051728655,0.7289218397938395,0.7321384493019939
2.0720460902209683,0.7403548503812497,0.727902297505966,0.7291348789478659
2.6750000000000003,0.7424855601881957,0.7458933232134698,0.7395810722813111
