Concentration,Rep1,Rep2,Rep3
3.2000000000000006,0.8096880025037503,0.8047958036717872,0.8040701128936423
4.131182235954578,0.802087123650647,0.8106905069991766,0.803176983584948
5.333333333333333,0.7801347593685616,0.7755291551205707,0.7775748958567188
6.0,0.7586751638837866,0.7569980273179014,0.75453130259172
6.8,0.7454488239871746,0.7431447176330064,0.73738186118091
7.6,0.7029730306800863,0.7183958930099327,0.7197453429728079
8.4,0.6835403069611498,0.685078312797393,0.6880318919600157
9.2,0.6690885651346751,0.6664294090718107,0.6677151408774809
10.0,0.6576600310811811,0.6593522388059702,0.6576763797002303
12.000000000000002,0.6552451223675415,0.6570000991143838,0.657758146620046
15.491933384829672,0.6499585279608853,0.6513810877181685,0.6470642034022316
20.000000000000004,0.6446827646663706,0.6435971321738534,0.6407620943294783
