Concentration,Rep1,Rep2,Rep3
0.2508,0.8186219231017864,0.8147944173103958,0.8128593107070943
0.3237814077429401,0.7977295296007062,0.7968079650777371,0.7955658041468993
0.418,0.7942037547590916,0.8004323740035131,0.7960143456489376
0.47025,0.8042610718974639,0.796675826017023,0.7939685638315775
0.53295,0.7892218622510199,0.7956159284880749,0.7970970715121097
0.59565,0.7854049530967865,0.7915633124017669,0.7916978960836418
0.65835,0.7680431823389086,0.7739465443357872,0.767476948868399
0.72105,0.7670688569074963,0.7701282972101342,0.771094114689935
0.78375,0.749583247547636,0.75138087930067,0.7517516898047871
0.9405,0.7685279726307135,0.7631019830028328,0.7622293123345326
1.2141802790360252,0.7664995436085352,0.7612975287383069,0.7579154876691386
1.5675,0.7614095816368511,0.7540989444594807,0.75747866338782
