Concentration,Rep1,Rep2,Rep3
0.2508,0.8279346753863578,0.8179548317437466,0.8252568857542409
0.3237814077429401,0.831973347149066,0.8264121308202689,0.8236358667149263
0.418,0.8148306813545492,0.8144663766210147,0.8107336000625369
0.47025,0.7899467001201405,0.8135013008352732,0.801029515546515
0.53295,0.7673156170752324,0.7815568636430986,0.7879774826354368
0.59565,0.764780673871583,0.7898051212777369,0.7809872324395593
0.65835,0.7781534373962139,0.7964431447225245,0.7871528994619555
0.72105,0.7830201206259129,0.7941157470876609,0.7766150057937428
0.78375,0.7712765612327657,0.7675205603431314,0.7654055489180938
0.9405,0.7623528234131205,0.7671626207256591,0.7633570149598568
1.2141802790360252,0.75648727317768,0.7578637306248015,0.7524977550033597
1.5675,0.7394508749049017,0.7455857159432951,0.7530801104972376
