Concentration,Rep1,Rep2,Rep3
3.2000000000000006,0.8280572597137015,0.8124424746595379,0.8142213733257876
4.131182235954578,0.8428474355446485,0.8152131701139721,0.8185642224058822
5.333333333333333,0.8203756834861432,0.8052918835722578,0.8055760531297123
6.0,0.784732183300619,0.7762883584063799,0.7785413315319081
6.8,0.7680507962104415,0.766779355420329,0.7651668351870576
7.6,0.7407362370108335,0.7275261739613345,0.7264156248242769
8.4,0.6868367461475554,0.6902207873359717,0.6920498131191957
9.2,0.6623064663023679,0.6660743548168777,0.6666512058024623
10.0,0.6613076129660319,0.654616274472478,0.6587861244524819
12.000000000000002,0.6535859157942662,0.6560607990959901,0.6478365086238997
15.491933384829672,0.6520480698913131,0.6505399033294508,0.6490486079216458
20.000000000000004,0.6524781538045847,0.6524855991228206,0.6505845291832636
