Concentration,Rep1,Rep2,Rep3
3.2000000000000006,0.8127313531012601,0.8119097638073548,0.8145656702357733
4.131182235954578,0.8165047794793898,0.8114748252745685,0.8087299254308871
5.333333333333333,0.7971904174281593,0.7902371342078708,0.7767517567610278
6.0,0.7815578196159444,0.7527635047173934,0.7550527478207749
6.8,0.7399846330521568,0.7271870720809377,0.7285642172063171
7.6,0.696340717170481,0.6984929119260735,0.6954678827474561
8.4,0.6786470625864861,0.6754456592124602,0.6738261617483998
9.2,0.6757765353828226,0.6716054966081058,0.6713027320419411
10.0,0.6701016725813456,0.6584538824435565,0.6590325478417887
12.000000000000002,0.6543340321296847,0.6537350322209307,0.6517562626254017
15.491933384829672,0.6518438350495774,0.6514332186758393,0.6471620752492229
20.000000000000004,0.6492182927848842,0.6502887660335973,0.6444465070752926
