Concentration,Rep1,Rep2,Rep3
0.2508,0.8103453079076764,0.7921675824942122,0.7914633715798765
0.3237814077429401,0.7947480671820848,0.7941114815290673,0.7938618681033186
0.418,0.7886960415075456,0.7969666741045061,0.7987407090529918
0.47025,0.7844327141159952,0.7973768772604434,0.7890707928472279
0.53295,0.7970626697515341,0.7923732746390167,0.7852049672853518
0.59565,0.7817892136309981,0.803808910246718,0.8028229084753895
0.65835,0.7712969970624831,0.7814861017816588,0.7892481980037414
0.72105,0.7816922498550393,0.7842938129089483,0.7867504516741616
0.78375,0.7698489860855072,0.7760380332273984,0.767051966338125
0.9405,0.7510780376019516,0.7664497835388238,0.7636117317718366
1.2141802790360252,0.7575593591341623,0.7557465131752389,0.7456138126869835
1.5675,0.7451651171131404,0.7557389210828365,0.7552793703927922
