Surfactant,Assay,Time_min,FitType,A1,A2,x0,dx,r_squared
CAPB,a,0,average,0.7957424741681061,0.7524060641233169,0.779032294729784,0.09855383031265598,0.96578792165843
CAPB,a,0,combined,0.7957425077447443,0.7524060255773606,0.7790325954283869,0.09855457263589816,0.8549618835053348
CAPB,a,5,average,0.7934227904308813,0.7519799196043618,0.7816302808694245,0.0023179989991503305,0.9428152848777251
CAPB,a,5,combined,0.7934227904301758,0.7519799196043045,0.7824372547516623,0.0014359537480974434,0.8029478922513158
CAPB,a,10,average,0.7912474876614263,0.7504819195945241,0.7833888172738286,0.0014064465439483905,0.9016149296413403
CAPB,a,10,combined,0.7912474876614455,0.7504819195945241,0.7831437578231516,0.0023607086675739046,0.8543573195564852
CAPB,a,20,average,0.7976372844580755,0.7501711760583887,0.7833104936370924,0.002624762231271776,0.8518295511447173
CAPB,a,20,combined,0.7976372844577814,0.7501711760583887,0.7833412232211581,0.002441585054565902,0.7987613937086159
CAPB,a,30,average,0.8118460027718064,0.7444460024602977,0.7861796729361292,0.11622800705110299,0.9728714649257054
CAPB,a,30,combined,0.8118459699230015,0.7444460020115172,0.786179879688301,0.11622778066295114,0.9272590140064462
CAPB,b,0,average,0.8181514942623975,0.7551958964094757,0.5278110490495048,0.15183927177658066,0.9541758943381219
CAPB,b,0,combined,0.8181504438582723,0.7551958092051521,0.5278186006512101,0.1518369113042714,0.8851954024364953
CAPB,b,5,average,0.8030240926609823,0.7591808171560324,0.6166251127859851,0.053731542221875844,0.90878568780112
CAPB,b,5,combined,0.80302388647284,0.7591808438360056,0.6166264933375913,0.0537300198523238,0.8904068206218266
CAPB,b,10,average,0.8033581917556526,0.7581942098834774,0.6361074869540991,0.056272389816861126,0.9579999492424738
CAPB,b,10,combined,0.8033584713190801,0.758194159677677,0.6361057504119405,0.056274647828198465,0.9236770372902
CAPB,b,20,average,0.8074219492995248,0.7595457224010371,0.6632605443936864,0.05657436895208428,0.987588486458375
CAPB,b,20,combined,0.8074219677858604,0.7595457045354369,0.6632605627279151,0.056574622456428365,0.9540074724869569
CAPB,b,30,average,0.8090848231246864,0.7576243290632466,0.680506871888198,0.06455717993918529,0.9809815966136636
CAPB,b,30,combined,0.8090848299891412,0.7576243205311581,0.6805069003820944,0.06455728576426953,0.9537895601933781
CAPB,c,0,average,0.8132839985391587,0.7614283802683163,0.6634916687455933,0.07104175029982564,0.8851462506616263
CAPB,c,0,combined,0.8132839639054312,0.7614284359625015,0.6634914026842373,0.07104115349893074,0.8131403743834219
CAPB,c,5,average,1.0182727579392408,0.7439553350221445,-0.05126437383241648,0.3836598634822031,0.9264396911565079
CAPB,c,5,combined,1.0183639828206956,0.7439536817266553,-0.051475973590177505,0.38370439399519757,0.8729318783448528
CAPB,c,10,average,1595.3425607130464,0.735961530105033,-5.112664300195775,0.5443419846260205,0.8868738869886739
CAPB,c,10,combined,1106.1177245350318,0.7359617711958064,-4.913088107264173,0.5443314801792991,0.8260604090811161
CAPB,c,20,average,2.4617544458302776,0.7334396687178042,-1.2683846914903734,0.5325116058945372,0.9291894058393732
CAPB,c,20,combined,2.4825789594374217,0.7334301725152089,-1.275984763440423,0.5328328639534736,0.9120791888285175
CAPB,c,30,average,0.844180895571179,0.7383963674963991,0.6015692508444529,0.2709633228309958,0.9321063484931998
CAPB,c,30,combined,0.8441806110593052,0.7383964956623512,0.6015700550938062,0.27096171406823494,0.9138708436901303
CHAPS,a,0,average,0.8420013780685218,0.6513285585725918,6.265170698062003,1.3725675407424036,0.9935093316069408
CHAPS,a,0,combined,0.8420014107596416,0.6513285297298117,6.265170906983516,1.3725688645797287,0.9832203672226761
CHAPS,a,5,average,0.8470186113537123,0.6482543038526017,5.9612214553150125,1.4351718340313873,0.9939398561288277
CHAPS,a,5,combined,0.8470188142856989,0.6482542865102126,5.961217754606693,1.4351742567290091,0.9858825023322558
CHAPS,a,10,average,0.8381988081483068,0.6492050476933473,6.157105002661796,1.3785674507222236,0.9955257956440942
CHAPS,a,10,combined,0.838198717263848,0.6492050410424375,6.1571072113098335,1.3785667724196242,0.9922074165637326
CHAPS,a,20,average,0.8465944057190631,0.6496000073626303,6.112619533331991,1.3539679404713143,0.9966068354062101
CHAPS,a,20,combined,0.8465942344946767,0.6496001052415898,6.112620092315182,1.3539630054415368,0.9906841923027754
CHAPS,a,30,average,0.822308824062619,0.6523531856519867,6.657897350231746,1.019898664435089,0.9967947381118373
CHAPS,a,30,combined,0.8223088025164029,0.6523532009064291,6.6578973106543335,1.0198978828911551,0.9895080930151069
CHAPS,b,0,average,0.8162961669461859,0.6541856642110323,6.873567488547803,1.1415642151732517,0.9949497245331829
CHAPS,b,0,combined,0.8162961523381875,0.6541856718704101,6.873567574774572,1.141563738247024,0.9857899324080579
CHAPS,b,5,average,0.8156877951396392,0.6474756968245262,6.956614905003205,1.2333575243208255,0.995429481409696
CHAPS,b,5,combined,0.8156877523232047,0.6474756983627151,6.956615945566285,1.2333568332089437,0.9928551831386092
CHAPS,b,10,average,0.8096873112489956,0.6481658976276338,7.097201062293527,1.1066344703010502,0.9967279955180777
CHAPS,b,10,combined,0.8096872323358297,0.6481659087327798,7.097202713392974,1.1066328189345855,0.9933977572998989
CHAPS,b,20,average,0.8173230470450589,0.6485185944727861,7.0041042573271355,1.171526851466795,0.996158893106528
CHAPS,b,20,combined,0.8173230450836828,0.6485185957781694,7.004104257782053,1.1715267799531264,0.9941618743124477
CHAPS,b,30,average,0.8161327337850903,0.6502810134452738,6.995072329908363,1.1569649382431326,0.9983798417442011
