concentration,surfactant volume,water volume,probe volume,total volume
1.832,39.439839663020585,935.5601603369794,25,1000.0
2.447,52.67974216998438,922.3202578300156,25,1000.0
3.268,70.35447380936205,904.645526190638,25,1000.0
4.364,93.94948705754466,881.0505129424554,25,1000.0
5.828,125.46691351314628,849.5330864868537,25,1000.0
7.784,167.5762619743189,807.4237380256811,25,1000.0
10.395,223.78664481282695,751.2133551871731,25,1000.0
13.882,298.85581561247363,676.1441843875264,25,1000.0
18.539,399.11309362049053,575.8869063795095,25,1000.0
24.759,533.0190994632787,441.98090053672126,25,1000.0
33.065,711.8331323459473,263.1668676540527,25,1000.0
44.157,950.6249999999999,24.375000000000114,25,1000.0
