334_373,334_384,ratio,surfactant,assay,time,replicate,concentration
155365.0,216627.0,0.717200533636158,SDS,b,30,2,9.775
156956.0,221892.0,0.7073531267463451,SDS,b,30,2,10.625
144159.0,200975.0,0.717298171414355,SDS,b,30,2,12.75
141727.0,196506.0,0.7212349750134855,SDS,b,30,2,16.460179221381527
122090.0,166874.0,0.7316298524635354,SDS,b,30,2,21.25
125418.0,156513.0,0.8013264073910793,NaDC,c,5,2,2.135
123308.0,151819.0,0.8122040060861947,NaDC,c,5,2,2.756273148050945
126667.0,156076.0,0.811572567210846,NaDC,c,5,2,3.5583333333333336
127235.0,156909.0,0.8108840155759071,NaDC,c,5,2,4.003125000000001
127452.0,157138.0,0.8110832516641423,NaDC,c,5,2,4.536875
127171.0,156268.0,0.813800650165101,NaDC,c,5,2,5.070625000000001
172619.0,241514.0,0.7147370338779533,NaDC,c,5,2,5.604375
174985.0,249044.0,0.7026268450554922,NaDC,c,5,2,6.1381250000000005
159128.0,231949.0,0.686047363860159,NaDC,c,5,2,6.671875
156457.0,228898.0,0.6835227918111998,NaDC,c,5,2,8.006250000000003
147821.0,214884.0,0.6879106866960779,NaDC,c,5,2,10.336024305191044
131124.0,189057.0,0.69356860629334,NaDC,c,5,2,13.343749999999996
138410.0,173716.0,0.796760229339842,NaDC,b,5,2,2.135
126084.0,155990.0,0.8082825822168088,NaDC,b,5,2,2.756273148050945
148247.0,179941.0,0.8238644889158113,NaDC,b,5,2,3.5583333333333336
165166.0,186333.0,0.8864023012563529,NaDC,b,5,2,4.003125000000001
120046.0,148526.0,0.8082490607705048,NaDC,b,5,2,4.536875
116345.0,143658.0,0.8098748416377786,NaDC,b,5,2,5.070625000000001
158292.0,226691.0,0.698272097260147,NaDC,b,5,2,5.604375
165302.0,239199.0,0.6910647619764296,NaDC,b,5,2,6.1381250000000005
164497.0,240168.0,0.6849247193631125,NaDC,b,5,2,6.671875
157662.0,230698.0,0.6834129467962444,NaDC,b,5,2,8.006250000000003
147734.0,217231.0,0.6800778894356698,NaDC,b,5,2,10.336024305191044
127466.0,184121.0,0.6922947409583915,NaDC,b,5,2,13.343749999999996
135496.0,171173.0,0.7915734373995899,SDS,a,0,2,3.4
146691.0,180767.0,0.8114921418179203,SDS,a,0,2,4.389381125701739
142609.0,176982.0,0.805782508955713,SDS,a,0,2,5.666666666666667
142513.0,176093.0,0.809305310262191,SDS,a,0,2,6.375
142592.0,174211.0,0.8185017019591185,SDS,a,0,2,7.225
136406.0,168347.0,0.8102668892228552,SDS,a,0,2,8.075
150013.0,198263.0,0.7566363870212798,SDS,a,0,2,8.925
158855.0,215334.0,0.7377144343206368,SDS,a,0,2,9.775
154151.0,215106.0,0.7166280810391156,SDS,a,0,2,10.625
155244.0,214886.0,0.7224481818266429,SDS,a,0,2,12.75
143666.0,200509.0,0.7165064909804547,SDS,a,0,2,16.460179221381527
128108.0,177582.0,0.7214019438907097,SDS,a,0,2,21.25
139013.0,172803.0,0.8044594133203706,SDS,b,30,1,3.4
144480.0,176768.0,0.8173425054308472,SDS,b,30,1,4.389381125701739
139907.0,169561.0,0.8251130861459888,SDS,b,30,1,5.666666666666667
127761.0,153692.0,0.8312794420008849,SDS,b,30,1,6.375
