replicate,334_373,334_384,600,ratio,surfactant_1,surfactant_1_ratio,surfactant_2,surfactant_2_ratio,analysis,well_idx,concentration
1,186929.0,276909.0,0.0401,0.6750557042205201,CAPB,0.5,CHAPS,0.5,rough_rough,10,5.762
1,162157.0,240393.0,0.0393,0.6745495917102411,CAPB,0.5,CHAPS,0.5,rough_rough,11,8.222
2,134211.0,163055.0,0.0407,0.823102634080525,CAPB,0.5,CHAPS,0.5,rough_rough,12,0.164
2,126891.0,155402.0,0.0404,0.8165338927426932,CAPB,0.5,CHAPS,0.5,rough_rough,13,0.235
2,129224.0,160854.0,0.0393,0.8033620550312706,CAPB,0.5,CHAPS,0.5,rough_rough,14,0.335
2,123325.0,155252.0,0.0404,0.7943536959266225,CAPB,0.5,CHAPS,0.5,rough_rough,15,0.478
2,124011.0,159383.0,0.0409,0.7780691792725698,CAPB,0.5,CHAPS,0.5,rough_rough,16,0.682
2,142626.0,187691.0,0.0387,0.7598979173215551,CAPB,0.5,CHAPS,0.5,rough_rough,17,0.973
2,150435.0,203262.0,0.0389,0.7401039053044839,CAPB,0.5,CHAPS,0.5,rough_rough,18,1.389
2,167544.0,234466.0,0.0398,0.7145769535881535,CAPB,0.5,CHAPS,0.5,rough_rough,19,1.982
2,163311.0,237550.0,0.0465,0.6874805304146495,CAPB,0.5,CHAPS,0.5,rough_rough,20,2.829
2,184633.0,276068.0,0.0405,0.6687953692568498,CAPB,0.5,CHAPS,0.5,rough_rough,21,4.037
2,179369.0,267666.0,0.0399,0.6701224660584459,CAPB,0.5,CHAPS,0.5,rough_rough,22,5.762
2,156506.0,234542.0,0.0391,0.6672834716170238,CAPB,0.5,CHAPS,0.5,rough_rough,23,8.222
3,128363.0,158343.0,0.0406,0.8106641910283372,CAPB,0.5,CHAPS,0.5,rough_rough,24,0.164
3,121611.0,149786.0,0.0405,0.8118983082531077,CAPB,0.5,CHAPS,0.5,rough_rough,25,0.235
3,123339.0,154855.0,0.0395,0.7964805786057925,CAPB,0.5,CHAPS,0.5,rough_rough,26,0.335
3,119207.0,149904.0,0.0401,0.7952222755897107,CAPB,0.5,CHAPS,0.5,rough_rough,27,0.478
3,119984.0,152744.0,0.0407,0.7855234902843974,CAPB,0.5,CHAPS,0.5,rough_rough,28,0.682
3,138140.0,182718.0,0.0384,0.7560284153723223,CAPB,0.5,CHAPS,0.5,rough_rough,29,0.973
3,146447.0,198014.0,0.0389,0.7395790196652762,CAPB,0.5,CHAPS,0.5,rough_rough,30,1.389
3,163119.0,229095.0,0.0403,0.7120146664047666,CAPB,0.5,CHAPS,0.5,rough_rough,31,1.982
3,157841.0,231013.0,0.0466,0.6832559206624735,CAPB,0.5,CHAPS,0.5,rough_rough,32,2.829
3,181162.0,271405.0,0.0406,0.6674969142057073,CAPB,0.5,CHAPS,0.5,rough_rough,33,4.037
3,173449.0,265392.0,0.04,0.6535577560740339,CAPB,0.5,CHAPS,0.5,rough_rough,34,5.762
3,152993.0,233071.0,0.0393,0.6564222919196296,CAPB,0.5,CHAPS,0.5,rough_rough,35,8.222
1,146703.0,190124.0,0.0446,0.7716174707033304,CAPB,0.05,CHAPS,0.95,fine_fine,0,2.289579299170472
