334_373,334_384,ratio,surfactant_1,assay,time,replicate,concentration,analysis,surfactant_1_ratio,surfactant_2,surfactant_2_ratio
122603.0,152418.0,0.8043866210027687,SDS,c,30,2,5.666666666666667,fine,1.0,N/A,0.0
120387.0,148587.0,0.8102121989137677,SDS,c,30,2,6.375,fine,1.0,N/A,0.0
121124.0,149908.0,0.8079888998585799,SDS,c,30,2,7.225,fine,1.0,N/A,0.0
124119.0,158246.0,0.7843421002742565,SDS,c,30,2,8.075,fine,1.0,N/A,0.0
127898.0,172350.0,0.7420829706991587,SDS,c,30,2,8.925,fine,1.0,N/A,0.0
121570.0,165952.0,0.732561222522175,SDS,c,30,2,9.775,fine,1.0,N/A,0.0
147262.0,206553.0,0.7129501871190445,SDS,c,30,2,10.625,fine,1.0,N/A,0.0
150242.0,211085.0,0.7117606651348982,SDS,c,30,2,12.75,fine,1.0,N/A,0.0
133566.0,183895.0,0.7263166480872237,SDS,c,30,2,16.460179221381527,fine,1.0,N/A,0.0
120570.0,165433.0,0.7288146863080522,SDS,c,30,2,21.25,fine,1.0,N/A,0.0
132461.0,163013.0,0.8125793648359333,SDS,b,30,2,3.4,fine,1.0,N/A,0.0
132912.0,165639.0,0.8024197199934798,SDS,b,30,2,4.389381125701739,fine,1.0,N/A,0.0
133681.0,163789.0,0.8161781316205606,SDS,b,30,2,5.666666666666667,fine,1.0,N/A,0.0
121422.0,148091.0,0.8199147821272056,SDS,b,30,2,6.375,fine,1.0,N/A,0.0
111579.0,137353.0,0.8123521146243621,SDS,b,30,2,7.225,fine,1.0,N/A,0.0
109860.0,136229.0,0.8064362213625587,SDS,b,30,2,8.075,fine,1.0,N/A,0.0
133039.0,178867.0,0.7437872832887006,SDS,b,30,2,8.925,fine,1.0,N/A,0.0
155365.0,216627.0,0.717200533636158,SDS,b,30,2,9.775,fine,1.0,N/A,0.0
156956.0,221892.0,0.7073531267463451,SDS,b,30,2,10.625,fine,1.0,N/A,0.0
144159.0,200975.0,0.717298171414355,SDS,b,30,2,12.75,fine,1.0,N/A,0.0
141727.0,196506.0,0.7212349750134855,SDS,b,30,2,16.460179221381527,fine,1.0,N/A,0.0
122090.0,166874.0,0.7316298524635354,SDS,b,30,2,21.25,fine,1.0,N/A,0.0
125418.0,156513.0,0.8013264073910793,NaDC,c,5,2,2.135,fine,1.0,N/A,0.0
123308.0,151819.0,0.8122040060861947,NaDC,c,5,2,2.756273148050945,fine,1.0,N/A,0.0
126667.0,156076.0,0.811572567210846,NaDC,c,5,2,3.5583333333333336,fine,1.0,N/A,0.0
127235.0,156909.0,0.8108840155759071,NaDC,c,5,2,4.003125000000001,fine,1.0,N/A,0.0
127452.0,157138.0,0.8110832516641423,NaDC,c,5,2,4.536875,fine,1.0,N/A,0.0
127171.0,156268.0,0.813800650165101,NaDC,c,5,2,5.070625000000001,fine,1.0,N/A,0.0
172619.0,241514.0,0.7147370338779533,NaDC,c,5,2,5.604375,fine,1.0,N/A,0.0
174985.0,249044.0,0.7026268450554922,NaDC,c,5,2,6.1381250000000005,fine,1.0,N/A,0.0
159128.0,231949.0,0.686047363860159,NaDC,c,5,2,6.671875,fine,1.0,N/A,0.0
156457.0,228898.0,0.6835227918111998,NaDC,c,5,2,8.006250000000003,fine,1.0,N/A,0.0
147821.0,214884.0,0.6879106866960779,NaDC,c,5,2,10.336024305191044,fine,1.0,N/A,0.0
131124.0,189057.0,0.69356860629334,NaDC,c,5,2,13.343749999999996,fine,1.0,N/A,0.0
138410.0,173716.0,0.796760229339842,NaDC,b,5,2,2.135,fine,1.0,N/A,0.0
126084.0,155990.0,0.8082825822168088,NaDC,b,5,2,2.756273148050945,fine,1.0,N/A,0.0
148247.0,179941.0,0.8238644889158113,NaDC,b,5,2,3.5583333333333336,fine,1.0,N/A,0.0
165166.0,186333.0,0.8864023012563529,NaDC,b,5,2,4.003125000000001,fine,1.0,N/A,0.0
120046.0,148526.0,0.8082490607705048,NaDC,b,5,2,4.536875,fine,1.0,N/A,0.0
116345.0,143658.0,0.8098748416377786,NaDC,b,5,2,5.070625000000001,fine,1.0,N/A,0.0
158292.0,226691.0,0.698272097260147,NaDC,b,5,2,5.604375,fine,1.0,N/A,0.0
165302.0,239199.0,0.6910647619764296,NaDC,b,5,2,6.1381250000000005,fine,1.0,N/A,0.0
164497.0,240168.0,0.6849247193631125,NaDC,b,5,2,6.671875,fine,1.0,N/A,0.0
157662.0,230698.0,0.6834129467962444,NaDC,b,5,2,8.006250000000003,fine,1.0,N/A,0.0
147734.0,217231.0,0.6800778894356698,NaDC,b,5,2,10.336024305191044,fine,1.0,N/A,0.0
127466.0,184121.0,0.6922947409583915,NaDC,b,5,2,13.343749999999996,fine,1.0,N/A,0.0
135496.0,171173.0,0.7915734373995899,SDS,a,0,2,3.4,fine,1.0,N/A,0.0
146691.0,180767.0,0.8114921418179203,SDS,a,0,2,4.389381125701739,fine,1.0,N/A,0.0
142609.0,176982.0,0.805782508955713,SDS,a,0,2,5.666666666666667,fine,1.0,N/A,0.0
142513.0,176093.0,0.809305310262191,SDS,a,0,2,6.375,fine,1.0,N/A,0.0
142592.0,174211.0,0.8185017019591185,SDS,a,0,2,7.225,fine,1.0,N/A,0.0
136406.0,168347.0,0.8102668892228552,SDS,a,0,2,8.075,fine,1.0,N/A,0.0
150013.0,198263.0,0.7566363870212798,SDS,a,0,2,8.925,fine,1.0,N/A,0.0
158855.0,215334.0,0.7377144343206368,SDS,a,0,2,9.775,fine,1.0,N/A,0.0
154151.0,215106.0,0.7166280810391156,SDS,a,0,2,10.625,fine,1.0,N/A,0.0
155244.0,214886.0,0.7224481818266429,SDS,a,0,2,12.75,fine,1.0,N/A,0.0
143666.0,200509.0,0.7165064909804547,SDS,a,0,2,16.460179221381527,fine,1.0,N/A,0.0
128108.0,177582.0,0.7214019438907097,SDS,a,0,2,21.25,fine,1.0,N/A,0.0
139013.0,172803.0,0.8044594133203706,SDS,b,30,1,3.4,fine,1.0,N/A,0.0
144480.0,176768.0,0.8173425054308472,SDS,b,30,1,4.389381125701739,fine,1.0,N/A,0.0
