Sample,334_373,334_384,replicate,assay,time,concentration,surfactant,ratio
D4,118567.0,149102.0,3,c,10,0.258,CAPB,0.7952073077490577
D5,112165.0,141666.0,3,c,10,0.368,CAPB,0.7917566670901981
D6,111996.0,143470.0,3,c,10,0.525,CAPB,0.7806231267860877
D7,106778.0,138404.0,3,c,10,0.749,CAPB,0.7714950434958527
D8,111568.0,149429.0,3,c,10,1.07,CAPB,0.746628833760515
E1,119574.0,165414.0,3,c,10,1.526,CAPB,0.722877144618956
E2,132155.0,182665.0,3,c,10,2.178,CAPB,0.7234828784934169
E3,137687.0,194167.0,3,c,10,3.108,CAPB,0.709116379199349
E4,123218.0,172631.0,3,c,10,4.436,CAPB,0.7137651986028002
A1,119472.0,149240.0,1,a,30,0.089,CAPB,0.8005360493165371
A2,125717.0,152049.0,1,a,30,0.127,CAPB,0.8268189859847812
A3,130124.0,162697.0,1,a,30,0.181,CAPB,0.799793481133641
A4,120578.0,152989.0,1,a,30,0.258,CAPB,0.7881481675153116
A5,116908.0,145859.0,1,a,30,0.368,CAPB,0.8015137907156912
A6,112066.0,139364.0,1,a,30,0.525,CAPB,0.8041244510777532
A7,115202.0,144389.0,1,a,30,0.749,CAPB,0.7978585626328876
A8,116284.0,154002.0,1,a,30,1.07,CAPB,0.7550811028428203
B1,127522.0,175838.0,1,a,30,1.526,CAPB,0.7252243542351483
B2,136794.0,192175.0,1,a,30,2.178,CAPB,0.711819955769481
B3,147418.0,208205.0,1,a,30,3.108,CAPB,0.7080425542133955
B4,128854.0,178513.0,1,a,30,4.436,CAPB,0.7218185790390615
A1,114396.0,143072.0,2,a,30,0.089,CAPB,0.7995694475508834
A2,117878.0,146398.0,2,a,30,0.127,CAPB,0.8051885954726158
A3,124336.0,155109.0,2,a,30,0.181,CAPB,0.8016040332927168
A4,117205.0,146599.0,2,a,30,0.258,CAPB,0.7994938573932974
A5,111566.0,139101.0,2,a,30,0.368,CAPB,0.8020503087684488
A6,105535.0,133343.0,2,a,30,0.525,CAPB,0.791455119503836
A7,107620.0,139133.0,2,a,30,0.749,CAPB,0.7735044885109931
A8,111074.0,148425.0,2,a,30,1.07,CAPB,0.7483510190331818
B1,123854.0,171676.0,2,a,30,1.526,CAPB,0.7214403877070761
B2,133328.0,188142.0,2,a,30,2.178,CAPB,0.7086562277428751
B3,144983.0,206541.0,2,a,30,3.108,CAPB,0.7019574805970727
B4,125987.0,178307.0,2,a,30,4.436,CAPB,0.7065734940299596
A1,112703.0,140952.0,3,a,30,0.089,CAPB,0.7995842556331233
A2,115562.0,143571.0,3,a,30,0.127,CAPB,0.804911855458275
A3,122121.0,151571.0,3,a,30,0.181,CAPB,0.8057016183834639
A4,114655.0,143379.0,3,a,30,0.258,CAPB,0.7996638280361839
A5,109270.0,136564.0,3,a,30,0.368,CAPB,0.800137664391787
A6,103956.0,131361.0,3,a,30,0.525,CAPB,0.791376435928472
A7,106456.0,139105.0,3,a,30,0.749,CAPB,0.7652924050177923
A8,109973.0,147395.0,3,a,30,1.07,CAPB,0.7461107907323857
B1,124186.0,171366.0,3,a,30,1.526,CAPB,0.7246828425708717
B2,133409.0,185999.0,3,a,30,2.178,CAPB,0.7172565443900236
B3,144389.0,205356.0,3,a,30,3.108,CAPB,0.7031155651648844
B4,126323.0,178062.0,3,a,30,4.436,CAPB,0.7094326695196055
A1,125649.0,155202.0,1,a,20,0.089,CAPB,0.8095836393860903
A2,126929.0,158640.0,1,a,20,0.127,CAPB,0.8001071608673727
A3,132286.0,164382.0,1,a,20,0.181,CAPB,0.8047474784343784
A4,126595.0,156468.0,1,a,20,0.258,CAPB,0.8090791727381956
A5,121983.0,151088.0,1,a,20,0.368,CAPB,0.807363920364291
A6,114659.0,141417.0,1,a,20,0.525,CAPB,0.8107865391006739
A7,116575.0,146702.0,1,a,20,0.749,CAPB,0.7946381099098854
A8,119229.0,158843.0,1,a,20,1.07,CAPB,0.7506090919964997
B1,129619.0,177493.0,1,a,20,1.526,CAPB,0.7302766869679368
B2,137138.0,193556.0,1,a,20,2.178,CAPB,0.7085184649403791
B3,148081.0,208446.0,1,a,20,3.108,CAPB,0.7104046131851894
B4,127119.0,177519.0,1,a,20,4.436,CAPB,0.7160867287445287
A1,118747.0,148072.0,2,a,20,0.089,CAPB,0.8019544545896591
A2,121568.0,151378.0,2,a,20,0.127,CAPB,0.8030757441636169
A3,127489.0,158246.0,2,a,20,0.181,CAPB,0.8056380572020778
A4,119977.0,149901.0,2,a,20,0.258,CAPB,0.8003749141099793
A5,113421.0,142135.0,2,a,20,0.368,CAPB,0.7979807929081507
A6,107075.0,135434.0,2,a,20,0.525,CAPB,0.7906064946763738
A7,108569.0,139537.0,2,a,20,0.749,CAPB,0.7780660326651713
A8,111983.0,149643.0,2,a,20,1.07,CAPB,0.7483343691318671
B1,124787.0,173456.0,2,a,20,1.526,CAPB,0.7194158749192879
B2,134419.0,189828.0,2,a,20,2.178,CAPB,0.7081094464462566
B3,145019.0,207199.0,2,a,20,3.108,CAPB,0.6999020265541822
B4,124855.0,177892.0,2,a,20,4.436,CAPB,0.7018584309581094
A1,117408.0,146461.0,3,a,20,0.089,CAPB,0.80163319928172
A2,119602.0,148983.0,3,a,20,0.127,CAPB,0.8027895800191969
A3,124842.0,155323.0,3,a,20,0.181,CAPB,0.8037573314963012
A4,117164.0,147007.0,3,a,20,0.258,CAPB,0.7969960614120416
A5,111511.0,139619.0,3,a,20,0.368,CAPB,0.7986806953208374
A6,105631.0,134697.0,3,a,20,0.525,CAPB,0.7842119720557993
A7,107182.0,139236.0,3,a,20,0.749,CAPB,0.7697865494556005
A8,110198.0,149439.0,3,a,20,1.07,CAPB,0.7374112514136203
B1,124442.0,171923.0,3,a,20,1.526,CAPB,0.7238240375051622
B2,134072.0,188004.0,3,a,20,2.178,CAPB,0.7131337631114232
B3,144261.0,204330.0,3,a,20,3.108,CAPB,0.706019674056673
B4,125046.0,174612.0,3,a,20,4.436,CAPB,0.7161363480173184
B5,147954.0,180534.0,1,b,20,0.089,CAPB,0.8195353783774801
B6,142219.0,171023.0,1,b,20,0.127,CAPB,0.8315782087789362
B7,131759.0,159519.0,1,b,20,0.181,CAPB,0.8259768428839198
B8,112757.0,135902.0,1,b,20,0.258,CAPB,0.8296934555782843
C1,110694.0,135489.0,1,b,20,0.368,CAPB,0.8169962137147665
C2,109697.0,138767.0,1,b,20,0.525,CAPB,0.7905121534658817
C3,115435.0,152005.0,1,b,20,0.749,CAPB,0.7594158086905036
C4,121569.0,163100.0,1,b,20,1.07,CAPB,0.7453648068669528
C5,127956.0,175474.0,1,b,20,1.526,CAPB,0.7292020470269099
C6,144377.0,200311.0,1,b,20,2.178,CAPB,0.7207642116508829
C7,153683.0,211800.0,1,b,20,3.108,CAPB,0.725604343720491
C8,128163.0,177183.0,1,b,20,4.436,CAPB,0.723336888979191
B5,142614.0,178879.0,2,b,20,0.089,CAPB,0.7972651904359931
B6,127870.0,156414.0,2,b,20,0.127,CAPB,0.8175099415653331
B7,121225.0,149722.0,2,b,20,0.181,CAPB,0.8096672499699443
B8,104892.0,127464.0,2,b,20,0.258,CAPB,0.8229147053285634
C1,104059.0,130869.0,2,b,20,0.368,CAPB,0.7951386501004821
C2,105467.0,134771.0,2,b,20,0.525,CAPB,0.7825644982971114
C3,111775.0,146869.0,2,b,20,0.749,CAPB,0.7610523663945421
C4,118022.0,159427.0,2,b,20,1.07,CAPB,0.7402886587591814
C5,124009.0,170910.0,2,b,20,1.526,CAPB,0.7255807149961968
C6,139709.0,197455.0,2,b,20,2.178,CAPB,0.7075485553670456
C7,148766.0,209153.0,2,b,20,3.108,CAPB,0.7112783464736341
C8,124391.0,174940.0,2,b,20,4.436,CAPB,0.7110495026866355
B5,140356.0,174968.0,3,b,20,0.089,CAPB,0.8021809702345571
B6,124882.0,155190.0,3,b,20,0.127,CAPB,0.8047039113344931
B7,118020.0,146381.0,3,b,20,0.181,CAPB,0.8062521775367022
B8,103792.0,126569.0,3,b,20,0.258,CAPB,0.8200428224920794
C1,103412.0,130859.0,3,b,20,0.368,CAPB,0.7902551601341903
C2,104427.0,134010.0,3,b,20,0.525,CAPB,0.7792478173270652
C3,110807.0,146076.0,3,b,20,0.749,CAPB,0.7585571894082532
C4,117605.0,158678.0,3,b,20,1.07,CAPB,0.7411550435473097
C5,123136.0,170787.0,3,b,20,1.526,CAPB,0.7209916445631108
C6,139465.0,194315.0,3,b,20,2.178,CAPB,0.7177263721277307
C7,148695.0,208658.0,3,b,20,3.108,CAPB,0.7126254445072798
C8,124050.0,173674.0,3,b,20,4.436,CAPB,0.7142692631021339
D1,121446.0,149783.0,1,c,0,0.089,CAPB,0.8108129761054326
D2,147918.0,177543.0,1,c,0,0.127,CAPB,0.833139014210642
D3,147900.0,177758.0,1,c,0,0.181,CAPB,0.8320300633445471
D4,139715.0,171397.0,1,c,0,0.258,CAPB,0.8151542909152436
D5,131166.0,161567.0,1,c,0,0.368,CAPB,0.8118365755383216
D6,136059.0,171244.0,1,c,0,0.525,CAPB,0.7945329471397538
D7,134396.0,173605.0,1,c,0,0.749,CAPB,0.7741482100169926
D8,146613.0,194017.0,1,c,0,1.07,CAPB,0.7556708948184953
E1,133004.0,184235.0,1,c,0,1.526,CAPB,0.7219258012864005
E2,141011.0,195573.0,1,c,0,2.178,CAPB,0.7210146594877616
E3,146515.0,201473.0,1,c,0,3.108,CAPB,0.7272190318305679
E4,120194.0,167393.0,1,c,0,4.436,CAPB,0.7180348043227615
D1,113609.0,141929.0,2,c,0,0.089,CAPB,0.800463612087734
D2,138650.0,172001.0,2,c,0,0.127,CAPB,0.8060999645350899
D3,136990.0,170214.0,2,c,0,0.181,CAPB,0.8048104151244904
D4,131422.0,164349.0,2,c,0,0.258,CAPB,0.7996519601579566
D5,125567.0,154024.0,2,c,0,0.368,CAPB,0.8152430790006753
D6,128419.0,162760.0,2,c,0,0.525,CAPB,0.789008355861391
D7,128989.0,164921.0,2,c,0,0.749,CAPB,0.7821259875940602
D8,136877.0,183887.0,2,c,0,1.07,CAPB,0.7443538694959404
E1,127298.0,176482.0,2,c,0,1.526,CAPB,0.7213086887047971
E2,139777.0,194803.0,2,c,0,2.178,CAPB,0.7175300175048639
E3,140147.0,194947.0,2,c,0,3.108,CAPB,0.7188979568805881
E4,118813.0,164565.0,2,c,0,4.436,CAPB,0.7219821954850667
D1,110968.0,138456.0,3,c,0,0.089,CAPB,0.8014676142601259
D2,135798.0,167582.0,3,c,0,0.127,CAPB,0.8103376257593298
D3,134947.0,164992.0,3,c,0,0.181,CAPB,0.8179002618308766
D4,129977.0,160988.0,3,c,0,0.258,CAPB,0.8073707357070092
D5,122957.0,151429.0,3,c,0,0.368,CAPB,0.8119778906286115
D6,125580.0,159260.0,3,c,0,0.525,CAPB,0.7885219138515634
D7,125233.0,161701.0,3,c,0,0.749,CAPB,0.7744726377697108
D8,133659.0,178963.0,3,c,0,1.07,CAPB,0.746852701396378
E1,124160.0,172875.0,3,c,0,1.526,CAPB,0.7182067968185105
E2,139325.0,191553.0,3,c,0,2.178,CAPB,0.727344390325393
E3,141145.0,194804.0,3,c,0,3.108,CAPB,0.7245487772325003
E4,117969.0,163213.0,3,c,0,4.436,CAPB,0.7227916893874875
