,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
B5,147954.0,180534.0,142614.0,178879.0,140356.0,174968.0
B6,142219.0,171023.0,127870.0,156414.0,124882.0,155190.0
B7,131759.0,159519.0,121225.0,149722.0,118020.0,146381.0
B8,112757.0,135902.0,104892.0,127464.0,103792.0,126569.0
C1,110694.0,135489.0,104059.0,130869.0,103412.0,130859.0
C2,109697.0,138767.0,105467.0,134771.0,104427.0,134010.0
C3,115435.0,152005.0,111775.0,146869.0,110807.0,146076.0
C4,121569.0,163100.0,118022.0,159427.0,117605.0,158678.0
C5,127956.0,175474.0,124009.0,170910.0,123136.0,170787.0
C6,144377.0,200311.0,139709.0,197455.0,139465.0,194315.0
C7,153683.0,211800.0,148766.0,209153.0,148695.0,208658.0
C8,128163.0,177183.0,124391.0,174940.0,124050.0,173674.0
