,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
A1,137137.0,168659.0,128522.0,160819.0,126282.0,158759.0
A2,138738.0,172556.0,132741.0,165529.0,130389.0,162291.0
A3,141613.0,171983.0,137117.0,168166.0,133682.0,165840.0
A4,135467.0,167460.0,128966.0,159960.0,126071.0,158687.0
A5,127586.0,157799.0,121040.0,151363.0,118050.0,149275.0
A6,122433.0,150982.0,115900.0,144670.0,113522.0,142265.0
A7,123778.0,154965.0,115573.0,148754.0,113456.0,147131.0
A8,125176.0,161704.0,116655.0,155531.0,114987.0,153824.0
B1,134561.0,185517.0,128815.0,178545.0,129123.0,177748.0
B2,138354.0,196952.0,137502.0,194170.0,137050.0,191703.0
B3,149149.0,208133.0,145294.0,206902.0,144713.0,205790.0
B4,124550.0,174869.0,122854.0,171517.0,122828.0,171849.0
