,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
B5,175022.0,219709.0,162331.0,210281.0,158678.0,203916.0
B6,164305.0,197276.0,153087.0,191470.0,148098.0,184681.0
B7,149997.0,181351.0,142182.0,172434.0,137132.0,168438.0
B8,144135.0,176886.0,132180.0,161025.0,127306.0,155607.0
C1,122031.0,154654.0,117166.0,148547.0,115148.0,144480.0
C2,124579.0,160121.0,119314.0,151207.0,117070.0,148091.0
C3,131308.0,170271.0,124597.0,164428.0,122407.0,161216.0
C4,132045.0,178252.0,127652.0,172624.0,126020.0,170901.0
C5,138961.0,189224.0,131848.0,184181.0,129539.0,180728.0
C6,155135.0,214178.0,147841.0,206742.0,144214.0,203388.0
C7,161314.0,224585.0,156114.0,221659.0,155405.0,218382.0
C8,135565.0,184432.0,128063.0,180467.0,127512.0,177998.0
