,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
D1,109894.0,132898.0,101443.0,125467.0,99497.0,123927.0
D2,130943.0,157137.0,120149.0,147424.0,118019.0,144046.0
D3,130320.0,157032.0,120632.0,147866.0,117050.0,145601.0
D4,123992.0,155677.0,118817.0,146947.0,115592.0,143973.0
D5,118330.0,148677.0,113645.0,141547.0,110756.0,138385.0
D6,116810.0,148337.0,111670.0,141472.0,109050.0,138837.0
D7,112448.0,142506.0,104836.0,136230.0,103808.0,134810.0
D8,111109.0,145616.0,105354.0,140980.0,103839.0,138923.0
E1,124119.0,168553.0,118526.0,163403.0,118878.0,164177.0
E2,135489.0,188865.0,131787.0,183623.0,131534.0,181640.0
E3,140723.0,197774.0,137735.0,196834.0,138043.0,194312.0
E4,125665.0,175559.0,124216.0,175670.0,124245.0,175525.0
