,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
A1,125649.0,155202.0,118747.0,148072.0,117408.0,146461.0
A2,126929.0,158640.0,121568.0,151378.0,119602.0,148983.0
A3,132286.0,164382.0,127489.0,158246.0,124842.0,155323.0
A4,126595.0,156468.0,119977.0,149901.0,117164.0,147007.0
A5,121983.0,151088.0,113421.0,142135.0,111511.0,139619.0
A6,114659.0,141417.0,107075.0,135434.0,105631.0,134697.0
A7,116575.0,146702.0,108569.0,139537.0,107182.0,139236.0
A8,119229.0,158843.0,111983.0,149643.0,110198.0,149439.0
B1,129619.0,177493.0,124787.0,173456.0,124442.0,171923.0
B2,137138.0,193556.0,134419.0,189828.0,134072.0,188004.0
B3,148081.0,208446.0,145019.0,207199.0,144261.0,204330.0
B4,127119.0,177519.0,124855.0,177892.0,125046.0,174612.0
