,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
A1,119472.0,149240.0,114396.0,143072.0,112703.0,140952.0
A2,125717.0,152049.0,117878.0,146398.0,115562.0,143571.0
A3,130124.0,162697.0,124336.0,155109.0,122121.0,151571.0
A4,120578.0,152989.0,117205.0,146599.0,114655.0,143379.0
A5,116908.0,145859.0,111566.0,139101.0,109270.0,136564.0
A6,112066.0,139364.0,105535.0,133343.0,103956.0,131361.0
A7,115202.0,144389.0,107620.0,139133.0,106456.0,139105.0
A8,116284.0,154002.0,111074.0,148425.0,109973.0,147395.0
B1,127522.0,175838.0,123854.0,171676.0,124186.0,171366.0
B2,136794.0,192175.0,133328.0,188142.0,133409.0,185999.0
B3,147418.0,208205.0,144983.0,206541.0,144389.0,205356.0
B4,128854.0,178513.0,125987.0,178307.0,126323.0,178062.0
