,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
D1,105770.0,128471.0,99318.0,123219.0,99975.0,121179.0
D2,126410.0,152439.0,116793.0,143796.0,114322.0,141172.0
D3,127610.0,153810.0,116883.0,145538.0,114792.0,142229.0
D4,125172.0,152085.0,114843.0,143422.0,111763.0,140232.0
D5,120820.0,146556.0,110650.0,137927.0,107823.0,135780.0
D6,117943.0,143569.0,107959.0,137610.0,106775.0,135816.0
D7,115152.0,142517.0,104676.0,135234.0,102692.0,133233.0
D8,109066.0,138869.0,100132.0,133724.0,98775.0,132518.0
E1,121632.0,166276.0,117271.0,162682.0,117704.0,163171.0
E2,134118.0,188001.0,131722.0,183954.0,130836.0,181932.0
E3,140432.0,197291.0,137841.0,194897.0,138029.0,194400.0
E4,127986.0,178774.0,125057.0,178363.0,124934.0,177683.0
