,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
D1,113421.0,138500.0,108229.0,132412.0,104912.0,130065.0
D2,138980.0,166242.0,129032.0,157556.0,127711.0,155036.0
D3,139788.0,166744.0,129632.0,157287.0,127328.0,155247.0
D4,132961.0,164285.0,127029.0,157180.0,123189.0,154085.0
D5,126404.0,156681.0,119384.0,149702.0,118116.0,147249.0
D6,126157.0,159258.0,120348.0,152009.0,117045.0,148928.0
D7,120783.0,153701.0,114186.0,146094.0,111615.0,144146.0
D8,124656.0,159112.0,115992.0,154293.0,114417.0,152364.0
E1,128643.0,174321.0,122013.0,167882.0,120989.0,168170.0
E2,137748.0,191800.0,135445.0,189476.0,134706.0,187794.0
E3,143253.0,198229.0,139271.0,197290.0,138391.0,195555.0
E4,119425.0,167601.0,118540.0,164246.0,118040.0,163771.0
