,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
B5,146158.0,181785.0,139789.0,174014.0,137024.0,170123.0
B6,131685.0,162170.0,122520.0,151639.0,120040.0,149201.0
B7,122327.0,146634.0,112325.0,136845.0,109688.0,135036.0
B8,106885.0,126972.0,97386.0,118131.0,94736.0,115952.0
C1,107608.0,132238.0,101923.0,128579.0,102043.0,127453.0
C2,109152.0,136056.0,103992.0,132137.0,102895.0,131325.0
C3,114116.0,148339.0,109964.0,143842.0,109204.0,143636.0
C4,121171.0,161687.0,116990.0,157019.0,116164.0,156492.0
C5,127487.0,174204.0,122949.0,169637.0,121861.0,168447.0
C6,143582.0,199318.0,138955.0,195760.0,138463.0,192684.0
C7,153383.0,212417.0,148526.0,208199.0,147659.0,207551.0
C8,122520.0,170258.0,119003.0,167548.0,119466.0,167367.0
