,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
D1,111041.0,134383.0,103397.0,127796.0,102192.0,126161.0
D2,134177.0,159404.0,123628.0,150298.0,121772.0,148662.0
D3,132115.0,158280.0,122567.0,149803.0,120898.0,149090.0
D4,126889.0,157766.0,120625.0,150574.0,118567.0,149102.0
D5,118770.0,150384.0,114369.0,143724.0,112165.0,141666.0
D6,118891.0,151808.0,114618.0,145246.0,111996.0,143470.0
D7,114169.0,145827.0,108379.0,140095.0,106778.0,138404.0
D8,122111.0,157035.0,113040.0,151661.0,111568.0,149429.0
E1,125141.0,168023.0,119662.0,164534.0,119574.0,165414.0
E2,135686.0,188520.0,132582.0,185362.0,132155.0,182665.0
E3,140792.0,197751.0,137850.0,194530.0,137687.0,194167.0
E4,125096.0,175082.0,124389.0,175885.0,123218.0,172631.0
