,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
A1,147274.0,179720.0,136977.0,171831.0,132434.0,166826.0
A2,150316.0,184966.0,142399.0,177391.0,137132.0,172127.0
A3,151839.0,183749.0,143401.0,179077.0,138684.0,172412.0
A4,141070.0,172805.0,133470.0,165693.0,131002.0,164716.0
A5,129946.0,160600.0,126061.0,156515.0,123022.0,155027.0
A6,127369.0,160804.0,123662.0,155341.0,120278.0,153289.0
A7,130494.0,166043.0,125444.0,158138.0,121198.0,155719.0
A8,132464.0,172483.0,124795.0,165281.0,121766.0,162987.0
B1,137966.0,195255.0,133821.0,185875.0,131475.0,178765.0
B2,141276.0,201238.0,139054.0,196534.0,139381.0,194093.0
B3,152973.0,213490.0,145391.0,206547.0,145301.0,206064.0
B4,122256.0,172365.0,122183.0,171846.0,121730.0,170914.0
