concentration,surfactant volume,water volume,probe volume,total volume
0.311147405903078,152.1,822.9,25,1000.0
0.4016895737594201,196.360255652716,778.639744347284,25,1000.0
0.5185790098384634,253.5,721.5,25,1000.0
0.5834013860682713,285.1875,689.8125,25,1000.0
0.6611882375440408,323.2125,651.7875,25,1000.0
0.7389750890198103,361.2375,613.7625,25,1000.0
0.8167619404955798,399.2625,575.7375,25,1000.0
0.8945487919713493,437.2875,537.7125,25,1000.0
0.9723356434471188,475.31249999999994,499.68750000000006,25,1000.0
1.1668027721365426,570.375,404.625,25,1000.0
1.5063359015978257,736.3509586976852,238.6490413023148,25,1000.0
1.9446712868942375,950.6249999999999,24.375000000000114,25,1000.0
