concentration,surfactant volume,water volume,probe volume,total volume
1.754,35.977910238429175,939.0220897615708,25,1000.0
2.362,48.4491584852735,926.5508415147265,25,1000.0
3.181,65.2484221598878,909.7515778401122,25,1000.0
4.284,87.87307152875175,887.1269284712482,25,1000.0
5.769,118.33327489481067,856.6667251051894,25,1000.0
7.769,159.35711781206172,815.6428821879383,25,1000.0
10.463,214.61623422159886,760.3837657784011,25,1000.0
14.09,289.01297335203367,685.9870266479663,25,1000.0
18.975,389.2137096774194,585.7862903225806,25,1000.0
25.554,524.1616409537166,450.83835904628336,25,1000.0
34.413,705.8767531556801,269.12324684431985,25,1000.0
46.345,950.625,24.375,25,1000.0
